"project_id","grid_type","shrink_distance","shrink_type","nodes_in_shrunk_grids","nodes_in_border_buffer","area_of_shrunk_grids","area_of_border_buffer","nodes_per_area_shrunk_grids","nodes_per_area_border_buffer"
1655,"MOCKUP","15","percentage",180,39,"8530495.928979551","1496617.89022406","2.1100766180370506e-05","2.6058755714968285e-05"
1655,"ORIGINAL","5","percentage",205,14,"9526294.886080064","500818.9331226554","2.1519384236105103e-05","2.795421473527093e-05"
1655,"ORIGINAL","10","percentage",189,30,"9025294.478294352","1001819.3409083672","2.0941144962587217e-05","2.994551889245667e-05"
1655,"ORIGINAL","15","percentage",178,41,"8522472.426993612","1504641.392209107","2.0885957863144566e-05","2.7249017747547145e-05"
1695,"MOCKUP","5","percentage",1099,62,"55252587.79269507","2863129.90560282","1.9890471087497165e-05","2.165462345200371e-05"
1695,"MOCKUP","10","percentage",1057,104,"52348904.39129033","5766813.307007559","2.0191444544842486e-05","1.8034223489361814e-05"
1695,"MOCKUP","15","percentage",981,180,"49444652.76849363","8671064.929804258","1.984036584488056e-05","2.0758695899197164e-05"
1695,"ORIGINAL","5","percentage",1017,144,"55213042.7416399","2902674.9566646516","1.8419560841065752e-05","4.9609412748530645e-05"
1695,"ORIGINAL","10","percentage",958,203,"52309315.9826319","5806401.715672649","1.8314137396063098e-05","3.4961411548922294e-05"
1695,"ORIGINAL","15","percentage",900,261,"49395031.23690021","8720686.461404338","1.8220456136237066e-05","2.992883658357897e-05"
1735,"MOCKUP","5","percentage",1314,83,"460034332.2467488","23816346.169787943","2.856308557630019e-06","3.485001410723911e-06"
1735,"MOCKUP","10","percentage",1268,129,"435840704.38601625","48009974.0305205","2.9093198208420555e-06","2.686941674202806e-06"
1735,"MOCKUP","15","percentage",1186,211,"411652889.10638547","72197789.31015128","2.8810680828077373e-06","2.9225271579102577e-06"
1735,"ORIGINAL","5","percentage",1297,100,"459684046.360073","24166632.05649829","2.821503183045106e-06","4.137936960608066e-06"
1735,"ORIGINAL","10","percentage",1233,164,"435508657.4110512","48342021.005520046","2.8311721914548378e-06","3.392493664699564e-06"
1735,"ORIGINAL","15","percentage",1157,240,"411245366.4865936","72605311.92997766","2.813405558546804e-06","3.3055432670196625e-06"
1752,"MOCKUP","5","percentage",1197,65,"940087411.2259079","48685580.04675245","1.2732858516199773e-06","1.3350975779189837e-06"
1752,"MOCKUP","10","percentage",1143,119,"890675291.4021808","98097699.87047958","1.283295956487787e-06","1.2130763530349657e-06"
1752,"MOCKUP","15","percentage",1097,165,"841245183.9868507","147527807.28580964","1.3040193523617805e-06","1.1184332163247096e-06"
1752,"ORIGINAL","5","percentage",1160,102,"939387272.3472116","49385718.925821185","1.234847473610699e-06","2.065374408201023e-06"
1752,"ORIGINAL","10","percentage",1079,183,"889983658.2446921","98789333.0283407","1.212381811738098e-06","1.8524267184545212e-06"
1752,"ORIGINAL","15","percentage",1015,247,"840400412.0350686","148372579.23796415","1.2077576182312077e-06","1.6647280870129944e-06"
1772,"MOCKUP","5","percentage",1834,112,"29316742428.184406","1519584342.055561","6.255811007968051e-08","7.370436566126773e-08"
1772,"MOCKUP","10","percentage",1762,184,"27778356984.636707","3057969785.60326","6.343067737859744e-08","6.017064029417853e-08"
1772,"MOCKUP","15","percentage",1652,294,"26232106872.711952","4604219897.528015","6.297626065706904e-08","6.385446536944234e-08"
1772,"ORIGINAL","5","percentage",1816,130,"29296162139.332207","1540164630.9104385","6.198764163589501e-08","8.440656108506596e-08"
1772,"ORIGINAL","10","percentage",1706,240,"27755439451.944324","3080887318.298321","6.146542925230071e-08","7.789963578822487e-08"
1772,"ORIGINAL","15","percentage",1612,334,"26209114712.289383","4627212057.953262","6.150532048471433e-08","7.218169295395054e-08"
1788,"MOCKUP","5","percentage",8682,435,"14154989348.908754","733342818.8573112","6.13352633901439e-07","5.931741455896622e-07"
1788,"MOCKUP","10","percentage",8228,889,"13411060538.878048","1477271628.8870716","6.135234403086472e-07","6.017850628254085e-07"
1788,"MOCKUP","15","percentage",7723,1394,"12666634520.882013","2221697646.8835506","6.097120736583963e-07","6.274481147132736e-07"
1788,"ORIGINAL","5","percentage",8080,1037,"14144712266.22839","743619901.5583496","5.712382018043332e-07","1.3945296485836855e-06"
1788,"ORIGINAL","10","percentage",7557,1560,"13400822902.328403","1487509265.4583359","5.639205931664812e-07","1.0487329633670067e-06"
1788,"ORIGINAL","15","percentage",7116,2001,"12654228739.740835","2234103428.045904","5.623416603535917e-07","8.956613086396846e-07"
1880,"MOCKUP","5","percentage",6818,382,"6368769406.898532","329900694.7822828","1.0705364827018025e-06","1.1579242058041131e-06"
1880,"MOCKUP","10","percentage",6485,715,"6033984560.789078","664685540.8923483","1.0747458722618842e-06","1.0756966354948897e-06"
1880,"MOCKUP","15","percentage",6147,1053,"5698822597.684511","999847503.9964123","1.078643859259207e-06","1.0531606027830605e-06"
1880,"ORIGINAL","5","percentage",5840,1360,"6364095183.294452","334574918.3883562","9.176481230717314e-07","4.064859393977006e-06"
1880,"ORIGINAL","10","percentage",5494,1706,"6029399029.818281","669271071.8645267","9.112019245748249e-07","2.5490418930662027e-06"
1880,"ORIGINAL","15","percentage",5130,2070,"5693485917.188582","1005184184.4942255","9.010297161731052e-07","2.059324084015064e-06"
1881,"MOCKUP","5","percentage",2061,138,"6193580673.084","320730588.97749424","3.327638903545203e-07","4.302676599695438e-07"
1881,"MOCKUP","10","percentage",1974,225,"5868065281.650616","646245980.411437","3.363970755698099e-07","3.4816464135955195e-07"
1881,"MOCKUP","15","percentage",1861,338,"5542121494.018509","972189768.0441475","3.357919890440036e-07","3.4766874854071836e-07"
1881,"ORIGINAL","5","percentage",1869,330,"6188944404.63231","325366857.4290142","3.019901097513638e-07","1.0142397495786633e-06"
1881,"ORIGINAL","10","percentage",1791,408,"5863459648.389988","650851613.6713362","3.054510659916931e-07","6.268709970595999e-07"
1881,"ORIGINAL","15","percentage",1681,518,"5536791425.396369","977519836.6649551","3.0360544056066914e-07","5.299125200029516e-07"
1901,"MOCKUP","5","percentage",215,13,"420265552.1564795","21776330.19448769","5.11581305907147e-07","5.969784570630146e-07"
1901,"MOCKUP","10","percentage",200,28,"398188632.1843779","43853250.16663355","5.022745097037117e-07","6.384931537253367e-07"
1901,"MOCKUP","15","percentage",202,26,"376082801.26437","65959081.08661258","5.371157609996706e-07","3.941837813940847e-07"
1901,"ORIGINAL","5","percentage",198,30,"419963465.47471905","22078416.876228094","4.714695831366769e-07","1.3587930768850144e-06"
1901,"ORIGINAL","10","percentage",190,38,"397877048.7411369","44164833.60981023","4.775344559359493e-07","8.604130683639471e-07"
1901,"ORIGINAL","15","percentage",180,48,"375710325.95098484","66331556.399962306","4.790925017681914e-07","7.23637475209722e-07"
1945,"MOCKUP","5","percentage",6281,329,"4797788791.948866","248423796.55393314","1.3091447482098628e-06","1.3243497787401928e-06"
1945,"MOCKUP","10","percentage",5956,654,"4545564522.754475","500648065.74895287","1.310288297566799e-06","1.3063068545399007e-06"
1945,"MOCKUP","15","percentage",5616,994,"4293030693.9579515","753181894.5449018","1.3081667475389838e-06","1.3197343260629077e-06"
1945,"ORIGINAL","5","percentage",5954,656,"4794172603.270205","252039985.23320675","1.2419244138057635e-06","2.602761618927324e-06"
1945,"ORIGINAL","10","percentage",5520,1090,"4542041303.736733","504171284.76667786","1.215312594242307e-06","2.161963667773015e-06"
1945,"ORIGINAL","15","percentage",5174,1436,"4288993266.876515","757219321.6268964","1.206343698405476e-06","1.8964122533412563e-06"
1950,"MOCKUP","5","percentage",89,9,"770441193.2643418","39916649.58382833","1.155182261515756e-07","2.2546982509389325e-07"
1950,"MOCKUP","10","percentage",91,7,"729846320.1369892","80511522.7111808","1.2468378272143602e-07","8.694407662752968e-08"
1950,"MOCKUP","15","percentage",95,3,"689462700.398281","120895142.4498905","1.3778845461128133e-07","2.4814892800539626e-08"
1950,"ORIGINAL","5","percentage",94,4,"769883344.1983994","40474498.64971483","1.220964198126309e-07","9.882766021681612e-08"
1950,"ORIGINAL","10","percentage",88,10,"729394179.7665715","80963663.08154273","1.2064806992038613e-07","1.2351219818115785e-07"
1950,"ORIGINAL","15","percentage",84,14,"688757796.6688371","121600046.17927718","1.2195869201955212e-07","1.1513153522457996e-07"
1952,"MOCKUP","5","percentage",176,9,"2335430799.3025126","120902802.78239346","7.536082852575346e-08","7.443996162933148e-08"
1952,"MOCKUP","10","percentage",168,17,"2212500782.9078135","243832819.17706633","7.593217652072574e-08","6.971990094432265e-08"
1952,"MOCKUP","15","percentage",160,25,"2089913062.4129982","366420539.67180777","7.655820851000624e-08","6.822761634048073e-08"
1952,"ORIGINAL","5","percentage",164,21,"2333648459.538667","122685142.54611206","7.027622319448266e-08","1.7116987081061593e-07"
1952,"ORIGINAL","10","percentage",153,32,"2210918862.6250033","245414739.45977592","6.920199677447436e-08","1.3039151629784192e-07"
1952,"ORIGINAL","15","percentage",146,39,"2087743020.846496","368590581.23828316","6.993197847731415e-08","1.0580845519432204e-07"
1953,"MOCKUP","5","percentage",393,21,"4180483084.510457","216400253.61066055","9.400827417676804e-08","9.704240013407024e-08"
1953,"MOCKUP","10","percentage",375,39,"3960827012.9726925","436056325.14865685","9.467719715397362e-08","8.943798713779563e-08"
1953,"MOCKUP","15","percentage",370,44,"3740844069.0189557","656039269.1025748","9.890815900728877e-08","6.706915587566816e-08"
1953,"ORIGINAL","5","percentage",387,27,"4177274628.3504305","219608709.77007484","9.264413629247616e-08","1.2294594339299367e-07"
1953,"ORIGINAL","10","percentage",369,45,"3957586344.491657","439296993.62884855","9.323864797380618e-08","1.0243639417669089e-07"
1953,"ORIGINAL","15","percentage",352,62,"3737099274.0125628","659784064.1079426","9.419070091281089e-08","9.397013867533578e-08"
1954,"MOCKUP","5","percentage",284,15,"896096307.46091","46481780.096122146","3.169302201509058e-07","3.2270709015404966e-07"
1954,"MOCKUP","10","percentage",263,36,"849039035.1974772","93539052.35957849","3.097619651125099e-07","3.848659901065757e-07"
1954,"MOCKUP","15","percentage",249,50,"801964148.7144853","140613938.8426051","3.104876949912742e-07","3.555835247312646e-07"
1954,"ORIGINAL","5","percentage",275,24,"895499659.931919","47078427.6252321","3.070911272271249e-07","5.097876290825182e-07"
1954,"ORIGINAL","10","percentage",250,49,"848404173.6974335","94173913.85971761","2.9467087474413763e-07","5.203139382418669e-07"
1954,"ORIGINAL","15","percentage",238,61,"801137448.289591","141440639.26756012","2.9707761197298196e-07","4.3127633129971685e-07"
1955,"MOCKUP","5","percentage",90,3,"3165380068.4262815","164156447.27741528","2.8432604633397126e-08","1.8275249310982995e-08"
1955,"MOCKUP","10","percentage",80,13,"2999125605.203516","330410910.5001435","2.6674441330899618e-08","3.934494772076951e-08"
1955,"MOCKUP","15","percentage",79,14,"2832689867.5093255","496846648.194098","2.7888686617664093e-08","2.817770845568986e-08"
1955,"ORIGINAL","5","percentage",82,11,"3163237981.7512946","166298533.95344353","2.592280456704732e-08","6.614610326678845e-08"
1955,"ORIGINAL","10","percentage",78,15,"2996879190.165197","332657325.53954124","2.6027075184068534e-08","4.509144650781793e-08"
1955,"ORIGINAL","15","percentage",75,18,"2829915517.765827","499620997.93891096","2.6502557948871666e-08","3.602730884861824e-08"
1976,"MOCKUP","5","percentage",1247,61,"1548802070.172395","80239236.82133603","8.051383866378731e-07","7.602265726408278e-07"
1976,"MOCKUP","10","percentage",1178,130,"1467361139.769537","161680167.22400284","8.028016880595707e-07","8.040565657004118e-07"
1976,"MOCKUP","15","percentage",1117,191,"1385930397.2311962","243110909.76233363","8.059567798148711e-07","7.856496452040038e-07"
1976,"ORIGINAL","5","percentage",1170,138,"1547676437.1442804","81364869.84998322","7.559719666979255e-07","1.696063672865673e-06"
1976,"ORIGINAL","10","percentage",1083,225,"1466282084.043611","162759222.9506526","7.386027639466055e-07","1.382410138860262e-06"
1976,"ORIGINAL","15","percentage",1008,300,"1384591779.8593435","244449527.13492012","7.280124110677587e-07","1.2272472093366729e-06"
2006,"MOCKUP","5","percentage",12067,654,"4508154102.885477","233540110.67466736","2.6767053043453924e-06","2.800375482013253e-06"
2006,"MOCKUP","10","percentage",11437,1284,"4270939070.6325216","470755142.9272747","2.677865408720568e-06","2.7275326022266326e-06"
2006,"MOCKUP","15","percentage",10899,1822,"4034374149.8498144","707320063.7097263","2.701534264095394e-06","2.575920143483618e-06"
2006,"ORIGINAL","5","percentage",11902,819,"4504863298.232363","236830915.32535934","2.6420335561947367e-06","3.458163385784555e-06"
2006,"ORIGINAL","10","percentage",11321,1400,"4267946565.037362","473747648.52036","2.6525636690816663e-06","2.9551597868033173e-06"
2006,"ORIGINAL","15","percentage",10672,2049,"4030168398.8667064","711525814.6910157","2.648028306460096e-06","2.8797268597904497e-06"
2092,"MOCKUP","5","percentage",259,12,"6007587.989128544","311169.2712774798","4.3112144253016646e-05","3.856421924547687e-05"
2092,"MOCKUP","10","percentage",243,28,"5692123.929482096","626633.330923277","4.269056735419842e-05","4.468322800312107e-05"
2092,"MOCKUP","15","percentage",239,32,"5376141.31482934","942615.9455761751","4.445567666548341e-05","3.394807837718039e-05"
2092,"ORIGINAL","5","percentage",247,24,"6003157.52951106","315599.7308945609","4.114501390072925e-05","7.60456922189778e-05"
2092,"ORIGINAL","10","percentage",231,40,"5687443.43614534","631313.8242602805","4.0615788551307344e-05","6.335993045434824e-05"
2092,"ORIGINAL","15","percentage",217,54,"5370581.399189706","948175.8612159146","4.0405308824243905e-05","5.695146038705508e-05"
2158,"MOCKUP","5","percentage",1284,65,"50886844.26086315","2637665.59241575","2.5232454844670312e-05","2.464300258034934e-05"
2158,"MOCKUP","10","percentage",1206,143,"48213660.54212714","5310849.311149277","2.5013657673767502e-05","2.6926013453214426e-05"
2158,"MOCKUP","15","percentage",1142,207,"45536835.57840826","7987674.274868697","2.50785981391621e-05","2.591492753419802e-05"
2158,"ORIGINAL","5","percentage",1292,57,"50851150.22678246","2673359.6264721155","2.540748821291214e-05","2.1321486056561622e-05"
2158,"ORIGINAL","10","percentage",1221,128,"48176821.91059675","5347687.942657828","2.534413752459322e-05","2.3935577650101875e-05"
2158,"ORIGINAL","15","percentage",1136,213,"45492769.723770715","8031740.129483864","2.4971001038136867e-05","2.6519782334352968e-05"
2164,"MOCKUP","5","percentage",785,38,"846997677.6306355","43878588.02758312","9.268030134343864e-07","8.660260438670519e-07"
2164,"MOCKUP","10","percentage",747,76,"802439514.2906471","88436751.3675766","9.309112857688029e-07","8.593712322619727e-07"
